time	I(L1)
Step Information: Lin=10n  (Run: 1/7)
0.000000000000000e+000	2.793687e-003
2.929687500000050e-008	2.776474e-003
2.050781250000001e-007	2.673161e-003
7.324218750000023e-007	2.384744e-003
1.318359375000006e-006	2.099446e-003
1.904296875000009e-006	1.848786e-003
2.490234375000012e-006	1.628557e-003
3.076171875000015e-006	1.435065e-003
3.662109375000019e-006	1.265062e-003
4.248046875000022e-006	1.115696e-003
4.809331250000000e-006	9.887163e-004
4.999999876220610e-006	9.493323e-004
5.000000000000001e-006	9.493323e-004
5.000000004080003e-006	9.493323e-004
5.000000012240003e-006	9.493323e-004
5.000000028560004e-006	9.493322e-004
5.000000032640006e-006	9.493322e-004
5.000000040800006e-006	9.493322e-004
5.000000057120007e-006	9.493321e-004
5.000000089760008e-006	9.493320e-004
5.000000155040014e-006	9.493317e-004
5.000000285600023e-006	9.493311e-004
5.000000433919842e-006	9.493303e-004
5.000001717338753e-006	9.493193e-004
5.000003264433989e-006	9.492951e-004
5.000005327227637e-006	9.492440e-004
5.000009452814933e-006	9.490777e-004
5.000017703989521e-006	9.484946e-004
5.000034206338701e-006	9.463671e-004
5.000067211037057e-006	9.394307e-004
5.000100000000002e-006	9.302034e-004
5.000103278896297e-006	9.290403e-004
5.000109836688885e-006	9.267461e-004
5.000122952274062e-006	9.223088e-004
5.000149183444418e-006	9.140176e-004
5.000201645785127e-006	8.995144e-004
5.000306570466548e-006	8.766676e-004
5.000473672393400e-006	8.511541e-004
5.000638159811732e-006	8.359755e-004
5.000837534613977e-006	8.267103e-004
5.001039000137155e-006	8.229453e-004
5.001291636951662e-006	8.221137e-004
5.001559539481975e-006	8.227264e-004
5.001896274240135e-006	8.234295e-004
5.002285469048932e-006	8.228564e-004
5.002887095309037e-006	8.197000e-004
5.003233728234284e-006	8.169835e-004
5.003550722144155e-006	8.140483e-004
5.003906633365535e-006	8.106201e-004
5.004242755463541e-006	8.073487e-004
5.004604793257663e-006	8.038103e-004
5.004941076544633e-006	8.004707e-004
5.005447598572043e-006	7.951703e-004
5.006159226403659e-006	7.865680e-004
5.007310183331785e-006	7.672239e-004
5.009264120549102e-006	7.111662e-004
5.012232720146516e-006	5.582625e-004
5.015609482791700e-006	2.657795e-004
5.019092264832136e-006	-1.885081e-004
5.022528938127586e-006	-8.122852e-004
5.028523947893388e-006	-2.187011e-003
5.034808856042635e-006	-3.837160e-003
